om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
506881,2014,03,27,2014-03-27,13:53:00,3,MO,29,0,1.25,0,0,0.0,0.0,39.02,-94.28,39.02,-94.28,0,0,0,0,0,95,0,0,0
506882,2014,03,27,2014-03-27,13:57:00,3,MO,29,0,1.25,0,0,0.0,0.0,38.63,-94.35,38.63,-94.35,0,0,0,0,0,37,0,0,0
506883,2014,03,27,2014-03-27,14:02:00,3,MO,29,0,1.75,0,0,0.0,0.0,38.63,-94.35,38.63,-94.35,0,0,0,0,0,37,0,0,0
506885,2014,03,27,2014-03-27,14:12:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.65,-94.19,38.65,-94.19,0,0,0,0,0,37,0,0,0
506886,2014,03,27,2014-03-27,14:12:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.66,-94.17,38.66,-94.17,0,0,0,0,0,37,0,0,0
506889,2014,03,27,2014-03-27,14:12:00,3,MO,29,0,1.75,0,0,0.0,0.0,38.64,-94.23,38.64,-94.23,0,0,0,0,0,37,0,0,0
506887,2014,03,27,2014-03-27,14:15:00,3,MO,29,0,0.75,0,0,0.0,0.0,40.0,-94.07,40.0,-94.07,0,0,0,0,0,61,0,0,0
506888,2014,03,27,2014-03-27,14:17:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.68,-94.16,38.68,-94.16,0,0,0,0,0,37,0,0,0
506891,2014,03,27,2014-03-27,14:21:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.74,-94.07,38.74,-94.07,0,0,0,0,0,101,0,0,0
506890,2014,03,27,2014-03-27,14:25:00,3,MO,29,0,1.5,0,0,0.0,0.0,38.71,-93.99,38.71,-93.99,0,0,0,0,0,101,0,0,0
497859,2014,03,27,2014-03-27,14:30:00,3,TX,48,0,1.0,0,0,0.0,0.0,31.79,-94.18,31.79,-94.18,0,0,0,0,0,419,0,0,0
506892,2014,03,27,2014-03-27,14:41:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.52,-93.83,38.52,-93.83,0,0,0,0,0,83,0,0,0
506893,2014,03,27,2014-03-27,14:41:00,3,MO,29,0,1.0,0,0,0.0,0.0,38.76,-93.73,38.76,-93.73,0,0,0,0,0,101,0,0,0
506894,2014,03,27,2014-03-27,14:45:00,3,MO,29,0,1.5,0,0,0.0,0.0,38.7718,-93.6873,38.7718,-93.6873,0,0,0,0,0,101,0,0,0
506895,2014,03,27,2014-03-27,14:46:00,3,MO,29,0,1.25,0,0,0.0,0.0,38.774,-93.6832,38.774,-93.6832,0,0,0,0,0,101,0,0,0
506896,2014,03,27,2014-03-27,14:52:00,3,MO,29,0,1.25,0,0,0.0,0.0,38.57,-93.7,38.57,-93.7,0,0,0,0,0,101,0,0,0
506899,2014,03,27,2014-03-27,15:05:00,3,MO,29,0,0.75,0,0,0.0,0.0,38.7,-93.27,38.7,-93.27,0,0,0,0,0,159,0,0,0
506900,2014,03,27,2014-03-27,15:08:00,3,MO,29,0,0.75,0,0,0.0,0.0,38.62,-93.41,38.62,-93.41,0,0,0,0,0,159,0,0,0
